user,item,timestamp
36121,9580,1583378629552
26572,9580,1583436719018
94805,9580,1584083806481
37550,9580,1584412681021
89825,9580,1584649439020
14601,9580,1584848802432
15061,9580,1585388171106
6364,9580,1585390736041
99661,9580,1585392581153
57849,9580,1585394954324
3542,9580,1585404918503
21038,9580,1590144594477
97829,14631,1634858241785
94522,14631,1634859069482
12538,14631,1634867362929
88421,14631,1634869069460
98501,14631,1634870469940
47592,14631,1634872254913
26119,14631,1634875796579
9868,14631,1634878211031
84145,14631,1634878428867
74050,14631,1634880134088
58518,14631,1634885224189
26482,14631,1634889093205
85811,14631,1634889733683
88648,14631,1634891507650
72969,14631,1634892782804
60599,14631,1634893680345
10850,14631,1634896630127
72439,14631,1634897275313
54489,14631,1634897307083
89873,14631,1634899032038
31970,14631,1634899353333
47771,14631,1634899624249
85506,14631,1634902902165
54003,14631,1634904925413
11254,14631,1634909289500
42185,14631,1634910658633
50389,14631,1634915365745
88418,14631,1634915956055
19062,14631,1634916744934
52287,14631,1634917990830
50584,14631,1634919482098
75127,14631,1634927223564
34428,14631,1634942693480
85811,7315,1634947441313
74285,7315,1634948275258
97829,7315,1634948475260
25902,7315,1634948544489
48195,14631,1634948686633
55109,7315,1634948931350
89495,7315,1634949155051
94522,7315,1634949497333
93487,7315,1634950370595
30484,14631,1634950476992
57657,7315,1634950983169
82303,7315,1634951331277
9851,7315,1634952059727
84368,7315,1634952712291
97275,7315,1634953790972
28036,14631,1634954400297
16718,14631,1634954724687
42185,7315,1634954861260
73661,7315,1634955374681
8116,14631,1634956180042
14633,14631,1634956252615
75127,7315,1634956486628
58826,7315,1634957804464
12823,14631,1634958065282
82148,7315,1634958362886
22706,7315,1634962382802
60599,7315,1634962395597
68863,14631,1634963392105
16055,7315,1634964137565
83083,7315,1634965936020
83083,14631,1634966132912
30617,7315,1634967344998
51104,7315,1634967869037
41922,7315,1634969120754
65069,7315,1634971403576
61527,7315,1634971466525
72439,7315,1634975250695
47310,7315,1634976842185
52150,7315,1634981168030
64025,7315,1634981715404
31698,14631,1634983337556
11022,7315,1634985686745
46458,7315,1634987071184
52728,7315,1634989530209
59384,14631,1634989792206
93154,14631,1634990608097
86476,7315,1634992044306
30883,14631,1634994244909
35930,7315,1634994807975
31698,7315,1634995435637
19956,14631,1634995693506
65065,7315,1635003686920
9878,14631,1635011103397
24098,7315,1635013871658
27176,14631,1635035791601
18808,7315,1635036661892
6649,7315,1635038319981
28036,7315,1635039904542
80195,7315,1635040459583
11254,7315,1635043077919
93070,14631,1635044680592
19956,7315,1635048684132
79032,14631,1635051513714
31319,7315,1635051634990
50552,14631,1635051966688
52287,7315,1635060918837
43385,1955,1635099916038
92264,1955,1635126935508
14183,14631,1635143130654
37695,1955,1635153867886
26227,1955,1635154795790
28924,1955,1635157841156
10910,1955,1635160906904
27898,14631,1635162803244
90556,1955,1635163199432
70984,1955,1635163918466
92660,14631,1635164539516
73845,9943,1635164749379
42757,9943,1635165518826
12022,9943,1635165810957
9226,9943,1635166090116
93190,1955,1635167179286
45394,1955,1635168274621
58852,9943,1635168457185
41582,9943,1635169754515
96475,9943,1635171406930
14183,9943,1635173235678
41878,9943,1635174198351
99187,9943,1635201986716
97275,9943,1635202258941
22367,9943,1635205155832
66905,9943,1635210032377
72186,9943,1635213566166
47592,9943,1635215594611
91240,9943,1635215983727
58617,7315,1635224384405
50584,9943,1635225790701
98501,9943,1635234628784
20013,9943,1635234829929
75127,9943,1635234920885
57657,9943,1635241365516
89254,9943,1635245307563
82513,1955,1635245688133
47657,9943,1635252479488
22041,9943,1635253037143
47310,9943,1635256506381
82148,9943,1635261406226
29888,7315,1635264261308
12538,9943,1635329266368
59331,9943,1635335025661
92660,7315,1635336616683
92621,9943,1635365192663
56225,12077,1635414899670
33435,12077,1635414942251
89714,12077,1635415051868
41582,12077,1635416253610
73941,12077,1635416440832
80859,12077,1635416843283
56971,12077,1635418369866
10910,12077,1635425101789
36070,12077,1635425150156
82303,9943,1635429463605
48825,14631,1635429475863
52504,9943,1635433387081
5818,12077,1635441128796
70150,12077,1635441504098
50584,12077,1635444410996
5510,12077,1635459004779
92607,12077,1635461134131
35105,12077,1635463391309
1309,12077,1635465593713
94522,12077,1635467496482
20702,14631,1635474711715
59306,9943,1635480891710
77723,12077,1635489913336
83083,9943,1635492533404
16110,12077,1635498182812
75093,9943,1635500372994
6707,12077,1635500420331
54489,9943,1635502493981
8040,1955,1635505397238
10850,9943,1635507769647
54489,12077,1635508242027
85506,9943,1635508663331
42197,12077,1635512069132
60599,9943,1635513021616
66741,14631,1635517971357
56765,9943,1635521418529
70158,9943,1635536163115
7958,14631,1635565976251
92771,9943,1635566102326
85811,12077,1635569627185
85811,9943,1635570357790
11254,12077,1635572422456
89432,12077,1635578636506
93190,12077,1635579567307
25776,7315,1635582593846
25776,9943,1635582705067
45125,9943,1635588284719
25776,12077,1635596729453
93070,9943,1635602695552
97111,9943,1635636694095
41922,9943,1635644153188
19471,1955,1635649964279
16576,1955,1635655930409
75030,9943,1635656656765
95795,7315,1635656871504
10910,14631,1635658784485
59016,9943,1635659395885
45503,12077,1635661214774
52504,12077,1635661307844
88648,9943,1635663371343
23931,9943,1635665072403
88648,7315,1635679380073
28759,12077,1635679942689
73689,9943,1635684201850
30992,7315,1635947777207
21308,12077,1636000189014
